,0
50,0.004518800000369083
50,0.0038551999987248564
50,0.002950599999167025
50,0.0028662999993684934
50,0.0038778999987698626
100,0.0074088000001211185
100,0.008187000001271372
100,0.010064599999168422
100,0.00816820000000007
100,0.009645800000726013
150,0.01608949999899778
150,0.022086000000854256
150,0.016817099998661433
150,0.016073099999630358
150,0.016214299999774084
200,0.032143600001290906
200,0.029854500000510598
200,0.028720599999360275
200,0.028797599999961676
200,0.042453599999134894
